BaciaCodigo,SubBaciaCodigo,RioCodigo,RioNome,nmEstado,nmMunicipio,ResponsavelSigla,Codigo,Nome,Latitude,Longitude,Altitude,AreaDrenagem,PeriodoTelemetricaInicio,PeriodoTelemetricaFim,Operando,TipoEstacao,TemChuva
3,39,,,ALAGOAS,COLÔNIA LEOPOLDINA,DNOCS,835072,COLÔNIA LEOPOLDINA,-8.91667,-35.7167,166,,,,0,2,Sim
3,39,,,ALAGOAS,IBATEGUARA,SUDENE,835073,IBATEGUARA,-8.98333,-35.9333,505,,,,0,2,Sim
3,39,,,ALAGOAS,JUNDIÁ,DNOS,835074,JUNDIÁ,-8.93333,-35.5667,160,,,,0,2,Não
3,39,,,ALAGOAS,COLÔNIA LEOPOLDINA,SEMARH-AL,835075,PORTO ALEGRE,-8.9667,-35.6831,,,,,0,2,Não
3,39,,,ALAGOAS,JACUÍPE,ANA,835139,JACUÍPE,-8.8419,-35.4475,,,2011-03-01 00:00:00,,1,2,Sim
3,39,,,ALAGOAS,CAMPESTRE,CEMADEN,835208,CAMPESTRE_Campestre,-8.8475,-35.565,125,,2014-01-01 00:00:00,,1,2,Não
3,39,,,ALAGOAS,IBATEGUARA,SEMARH-AL,835218,IBATEGUARA,-8.9658,-35.9211,,,2023-05-01 00:00:00,,1,2,Sim
3,39,,,ALAGOAS,JUNDIÁ,SEMARH-AL,835240,JUNDIÁ,-8.9436,-35.5553,,,2025-01-01 00:00:00,,1,2,Não
3,39,,,ALAGOAS,NOVO LINO,SEMARH-AL,835241,NOVO LINO - MET,-8.96321,-35.675,,,2025-01-01 00:00:00,,1,2,Não
3,39,,,ALAGOAS,SÃO JOSÉ DA LAJE,SEMARH-AL,836094,USINA SERRA GRANDE (S.J.LAJE),-8.98,-36.06,,,,,0,2,Não
3,39,,,ALAGOAS,SÃO JOSÉ DA LAJE,SEMARH-AL,836095,SALTO GRANDE,-8.9831,-36.0667,,,,,0,2,Não
3,39,,,ALAGOAS,RIO LARGO,DNOS,935000,CACHOEIRA DO IMBURY,-9.5,-35.8833,45,,,,0,2,Não
3,39,,,ALAGOAS,FLEXEIRAS,SUDENE,935001,FLECHEIRAS,-9.28333,-35.7167,70,,,,0,2,Sim
3,39,,,ALAGOAS,PASSO DE CAMARAGIBE,SUDENE,935002,FAZENDA BOA ESCOLHA,-9.13333,-35.7333,198,,,,0,2,Sim
3,39,,,ALAGOAS,RIO LARGO,SUDENE,935003,LOURENÇO DE ALBUQUERQUE (RFN),-9.46667,-35.85,60,,,,0,2,Sim
3,39,,,ALAGOAS,MACEIÓ,INMET,935004,MACEIÓ (Tabuleiro),-9.5511,-35.77,64.5,,2002-01-01 00:00:00,,1,2,Sim
3,39,,,ALAGOAS,MACEIÓ,DNOCS,935005,MACEIÓ,-9.56667,-35.7833,5,,,,1,2,Sim
3,39,,,ALAGOAS,MACEIÓ,DNOS,935007,MACEIÓ (RESIDÊNCIA DNOS),-9.6667,-35.7167,33,,,,0,2,Não
3,39,,,ALAGOAS,MACEIÓ,SUDENE,935008,MACEIÓ,-9.66667,-35.7167,45,,,,0,2,Sim
3,39,,,ALAGOAS,MACEIÓ,SUDENE,935009,MACEIÓ - BEBEDOURO,-9.13333,-35.75,80,,,,0,2,Sim
3,39,,,ALAGOAS,MARAGOGI,SUDENE,935010,MARAGOGI,-9.01667,-35.2333,5,,,,0,2,Sim
3,39,,,ALAGOAS,MATRIZ DE CAMARAGIB,DNOCS,935011,MATRIZ DE CAMARAGIBE,-9.16667,-35.5167,16,,,,1,2,Sim
3,39,,,ALAGOAS,MURICI,ANA,935012,MURICI - PONTE,-9.3136,-35.9497,82,,2017-12-01 00:00:00,,1,2,Sim
3,39,,,ALAGOAS,PASSO DE CAMARAGIBE,DNOCS,935013,PASSO DE CAMARAGIBE,-9.23333,-35.4833,90,,,,1,2,Sim
3,39,,,ALAGOAS,PILAR,INMET,935014,PILAR (MANGUABA)  ,-9.6,-35.9,131,,,,1,2,Sim
