BaciaCodigo,SubBaciaCodigo,EstadoCodigo,nmEstado,MunicipioCodigo,nmMunicipio,ResponsavelCodigo,ResponsavelSigla,OperadoraCodigo,OperadoraSigla,TipoEstacao,Codigo,Nome,CodigoAdicional,Latitude,Longitude,Altitude,TipoEstacaoEscala,TipoEstacaoRegistradorNivel,TipoEstacaoDescLiquida,TipoEstacaoSedimentos,TipoEstacaoQualAgua,TipoEstacaoPluviometro,TipoEstacaoRegistradorChuva,TipoEstacaoTanqueEvapo,TipoEstacaoClimatologica,TipoEstacaoPiezometria,TipoEstacaoTelemetrica,PeriodoPluviometroInicio,PeriodoPluviometroFim,PeriodoRegistradorChuvaInicio,PeriodoRegistradorChuvaFim,PeriodoTanqueEvapoInicio,PeriodoTanqueEvapoFim,PeriodoClimatologicaInicio,PeriodoClimatologicaFim,TipoRedeBasica,TipoRedeEnergetica,TipoRedeNavegacao,TipoRedeCursoDagua,TipoRedeEstrategica,TipoRedeCaptacao,TipoRedeSedimentos,TipoRedeQualAgua,TipoRedeClasseVazao,UltimaAtualizacao,Operando,NumImagens,DataAlt,ResponsavelUnidade,ResponsavelJurisdicao,OperadoraUnidade,OperadoraSubUnidade,PeriodoTelemetricaInicio,Descricao,DataIns,PeriodoTelemetricaFim,PeriodoPiezometriaInicio,PeriodoPiezometriaFim,AreaDrenagem,PeriodoQualAguaInicio,PeriodoQualAguaFim,RioCodigo,RioNome,PeriodoEscalaInicio,PeriodoEscalaFim,PeriodoDescLiquidaInicio,PeriodoSedimentosInicio,PeriodoRegistradorNivelInicio,PeriodoDescLiquidaFim,PeriodoSedimentosFim,PeriodoRegistradorNivelFim,Rede
5,57,18,ESPÍRITO SANTO,18019000,DOMINGOS MARTINS,1,ANA,1,ANA,2,2040000,DOMINGOS MARTINS (DNOS),,-20.3639,-40.6617,452,0,0,0,0,0,0,0,0,0,0,0,1947-02-01 00:00:00,1999-07-01 00:00:00,,,,,,,0,0,0,0,0,1,0,0,0,2005-04-15 00:00:00,0,0,2010-04-28 00:00:00,27,1,,,,,,,,,,,,,,,,,,,,,,Convencional
5,57,18,ESPÍRITO SANTO,18019000,DOMINGOS MARTINS,1,ANA,82,SGB-CPRM,2,2040015,PEROBINHA (DNOS),,-20.2836,-40.7831,640,0,0,0,0,0,0,0,0,0,0,0,1952-11-01 00:00:00,2018-04-01 00:00:00,,,,,,,1,0,0,0,0,7,0,0,0,2018-12-13 00:00:00,0,0,2018-12-13 00:00:00,27,1,17,,,,,,,,,,,,,,,,,,,,,Convencional
5,57,18,ESPÍRITO SANTO,18019000,DOMINGOS MARTINS,1,ANA,82,SGB-CPRM,2,2040023,SÃO RAFAEL,,-20.2964,-40.9339,818,0,0,0,0,0,1,0,0,0,0,0,1970-01-01 00:00:00,,,,,,,,1,0,0,0,0,7,0,0,0,2015-07-08 00:00:00,1,0,2015-07-08 00:00:00,27,1,17,74,,,,,,,,,,,,,,,,,,,,Convencional
5,57,18,ESPÍRITO SANTO,18019000,DOMINGOS MARTINS,2,DNOS,2,DNOS,2,2040031,SOIDO,,-20.3333,-40.7167,,0,0,0,0,0,0,0,0,0,0,0,1963-04-01 00:00:00,1968-12-01 00:00:00,,,,,,,0,0,0,0,0,7,0,0,0,2010-03-29 00:00:00,0,0,2010-03-29 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,Convencional
5,57,18,ESPÍRITO SANTO,18019000,DOMINGOS MARTINS,1,ANA,1,ANA,2,2040038,CÓRREGO DO GALO (DNOS),,-20.3,-40.6667,,0,0,0,0,0,0,0,0,0,0,0,1955-03-01 00:00:00,1968-12-01 00:00:00,,,,,,,0,0,0,0,0,0,0,0,0,2010-03-29 00:00:00,0,0,2010-03-29 00:00:00,27,1,,,,,,,,,,,,,,,,,,,,,,Convencional
5,57,18,ESPÍRITO SANTO,18019000,DOMINGOS MARTINS,1,ANA,82,SGB-CPRM,2,2040045,CÓRREGO DO GALO,,-20.3175,-40.6528,,0,0,0,0,0,1,0,0,0,0,0,1999-07-01 00:00:00,,,,,,,,1,0,0,0,0,7,0,0,0,2018-02-26 00:00:00,1,0,2018-02-26 00:00:00,27,1,17,17,2014-12-01 00:00:00,,,2018-02-01 00:00:00,,,,,,,,,,,,,,,,Convencional
5,57,18,ESPÍRITO SANTO,18019000,DOMINGOS MARTINS,424,SÃO PEDRO,424,SÃO PEDRO,2,2040061,PCH SÃO PEDRO MONTANTE,,-20.3172,-40.6531,455,0,0,0,0,0,1,0,0,0,0,1,2014-08-01 00:00:00,,,,,,,,0,1,0,0,0,6,0,0,0,2015-05-12 00:00:00,1,0,2015-05-12 00:00:00,,,,1,2014-08-01 00:00:00,RES. ANA/ANEEL N. 0,2015-05-12 00:00:00,,,,,,,,,,,,,,,,,Convencional
5,57,18,ESPÍRITO SANTO,18019000,DOMINGOS MARTINS,451,CEMADEN,451,CEMADEN,2,2040075,DOMINGOS MARTINS_AC Domingos Martins,320190201,-20.36,-40.66,531,0,0,0,0,0,1,0,0,0,0,1,2014-01-01 00:00:00,,,,,,,,0,0,0,0,0,7,0,0,0,,1,0,2015-10-29 00:00:00,21,1,21,,2014-01-01 00:00:00,TELEMÉTRICA,2015-10-28 00:00:00,,,,,,,,,,,,,,,,,Convencional
5,57,18,ESPÍRITO SANTO,18019000,DOMINGOS MARTINS,913,AGERH-ES,913,AGERH-ES,2,2040207,DOMINGOS MARTINS - PONTO ALTO,99771479,-20.2992,-40.8783,659,0,0,0,0,0,1,0,0,0,0,1,2022-11-01 00:00:00,,,,,,,,0,0,0,0,0,7,0,0,0,2025-07-28 17:06:00,1,0,2026-03-26 13:20:00,18,1,18,,2022-11-01 00:00:00,TELEMÉTRICA,2025-01-08 00:00:00,,,,,,,,,,,,,,,,,Convencional
5,57,18,ESPÍRITO SANTO,18019000,DOMINGOS MARTINS,1,ANA,82,SGB-CPRM,2,2041020,ARACE (FAZENDA MODELO),,-20.3667,-41.0611,1075,0,0,0,0,0,1,1,0,0,0,0,1962-01-01 00:00:00,,1962-01-01 00:00:00,,,,,,1,0,0,0,0,7,0,0,0,2015-07-08 00:00:00,1,0,2026-03-09 16:20:17,27,1,17,15,,,,,,,,,,,,,,,,,,,,Convencional
