Codigo;Latitude;Longitude;Completude;Quantidade_Anos
2040000;-20,3639;-40,6617;94,33419614610297;10
2040015;-20,2836;-40,7831;99,58632916379395;28
2040023;-20,2964;-40,9339;98,98612593383137;36
2040031;-20,3333;-40,7167;0,0;0
2040038;-20,3;-40,6667;0,0;0
2040045;-20,3175;-40,6528;99,89860068951532;27
2040061;-20,3172;-40,6531;0,0;0
2040075;-20,36;-40,66;0,0;0
2040207;-20,2992;-40,8783;0,0;0
2041020;-20,3667;-41,0611;99,70269858210094;36
2041022;-20,3333;-41,1167;0,0;0
2041036;-20,3;-41,1;0,0;0
2041037;-20,3667;-41,05;0,0;0
2041060;-20,3833;-41,05;0,0;0
2041098;-20,2708;-41,0469;0,0;0
2040061;-20,3172;-40,6531;0,0;0
2040075;-20,36;-40,66;0,0;0
2040207;-20,2992;-40,8783;0,0;0
2041098;-20,2708;-41,0469;0,0;0
57145000;-20,2992;-40,8783;82,5;2
57150500;-20,3172;-40,6531;98,34368530020704;12
57150800;-20,3283;-40,6356;0,0;0
